[94, True, [200, [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]]
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 36, T 32
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 36, T 70
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 36, T 79
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 36, T 87
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 37, T 8
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 37, T 11
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 37, T 49
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 37, T 63
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 37, T 74
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 37, T 94
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 38, T 9
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 38, T 50
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 39, T 34
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 39, T 61
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 39, T 64
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 39, T 83
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 40, T 30
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 40, T 70
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 41, T 48
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 41, T 63
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 42, T 29
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 43, T 14
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 43, T 25
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 43, T 44
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 43, T 45
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 43, T 64
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 43, T 83
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 44, T 4
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 44, T 76
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 44, T 89
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 44, T 91
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 45, T 61
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 46, T 6
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 46, T 49
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 46, T 71
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 47, T 3
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 47, T 55
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 47, T 58
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 48, T 2
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 48, T 18
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 48, T 69
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 48, T 77
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 49, T 18
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 49, T 39
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 49, T 59
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 50, T 29
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 50, T 54
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 50, T 56
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 51, T 17
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 53, T 3
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 53, T 8
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 53, T 44
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 53, T 46
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 53, T 56
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 53, T 66
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 53, T 67
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 53, T 90
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 54, T 1
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 54, T 4
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 54, T 53
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 54, T 61
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 54, T 64
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 54, T 100
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 55, T 30
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 55, T 37
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 55, T 84
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 56, T 11
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 56, T 39
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 56, T 92
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 56, T 95
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 56, T 100
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 57, T 24
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 57, T 53
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 57, T 73
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 57, T 77
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 58, T 12
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 58, T 20
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 58, T 40
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 58, T 46
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 58, T 49
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 58, T 53
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 58, T 60
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 58, T 86
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 59, T 13
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 59, T 30
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 59, T 38
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 59, T 61
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 59, T 79
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 60, T 2
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 60, T 28
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 60, T 36
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 60, T 67
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 60, T 82
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 60, T 83
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 60, T 99
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 61, T 13
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 61, T 28
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 61, T 77
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 61, T 81
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 62, T 41
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 62, T 90
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 62, T 94
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 63, T 9
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 63, T 10
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 63, T 72
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 63, T 89
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 63, T 92
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 64, T 26
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 64, T 52
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 64, T 61
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 64, T 79
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 64, T 82
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 65, T 99
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 66, T 19
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 67, T 1
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 67, T 8
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 67, T 28
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 67, T 68
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 67, T 99
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 69, T 22
